,ts,button_status,LDRstatus,Duration
0,2021-11-13 00:21:17,,0.0,0 days 00:00:00.000000000
1,2021-11-13 00:21:27,1.0,,
2,2021-11-13 00:21:28,1.0,,
3,2021-11-13 00:21:28,1.0,,
4,2021-11-13 00:21:29,1.0,,
5,2021-11-13 00:21:30,1.0,,
6,2021-11-13 00:21:31,1.0,,
7,2021-11-13 00:21:31,1.0,,
8,2021-11-13 00:21:32,1.0,,
9,2021-11-13 00:30:26,,0.5,0 days 00:09:09.000000000
10,2021-11-13 00:30:30,1.0,,
11,2021-11-13 00:58:31,,0.0,0 days 00:00:00.000000000
12,2021-11-13 01:11:47,,0.5,0 days 00:13:16.000000000
13,2021-11-13 02:48:50,,0.0,0 days 00:00:00.000000000
14,2021-11-13 02:49:32,,0.5,0 days 00:00:42.000000000
15,2021-11-13 07:17:00,1.0,,
16,2021-11-13 07:17:05,,0.0,0 days 00:00:00.000000000
17,2021-11-13 07:19:47,,0.5,0 days 00:02:42.000000000
18,2021-11-13 07:56:40,,0.0,0 days 00:00:00.000000000
19,2021-11-13 08:03:26,,0.5,0 days 00:06:46.000000000
20,2021-11-13 08:11:54,1.0,,
21,2021-11-13 08:11:58,,0.0,0 days 00:00:00.000000000
22,2021-11-13 08:14:59,,0.5,0 days 00:03:01.000000000
23,2021-11-13 12:37:38,1.0,,
24,2021-11-13 12:37:40,,0.0,0 days 00:00:00.000000000
25,2021-11-13 12:39:12,,0.5,0 days 00:01:32.000000000
26,2021-11-13 12:40:00,,0.0,0 days 00:00:00.000000000
27,2021-11-13 12:41:49,,0.5,0 days 00:01:49.000000000
28,2021-11-13 13:11:10,,0.0,0 days 00:00:00.000000000
29,2021-11-13 13:17:40,,0.5,0 days 00:06:30.000000000
30,2021-11-13 15:15:33,,0.0,0 days 00:00:00.000000000
31,2021-11-13 15:31:33,,0.5,0 days 00:16:00.000000000
32,2021-11-13 19:28:22,,0.0,0 days 00:00:00.000000000
33,2021-11-13 19:29:33,,0.5,0 days 00:01:11.000000000
34,2021-11-13 22:51:00,1.0,,
35,2021-11-13 22:51:01,,0.0,0 days 00:00:00.000000000
36,2021-11-13 22:52:01,,0.5,0 days 00:01:00.000000000
37,2021-11-13 23:59:40,1.0,,
38,2021-11-13 23:59:44,,0.0,0 days 00:00:00.000000000
39,2021-11-14 00:04:13,,0.5,0 days 00:04:29.000000000
40,2021-11-14 08:51:10,1.0,,
41,2021-11-14 08:51:13,,0.0,0 days 00:00:00.000000000
42,2021-11-14 09:10:52,,0.5,0 days 00:19:39.000000000
43,2021-11-14 10:17:14,,0.0,0 days 00:00:00.000000000
44,2021-11-14 10:17:35,,0.5,0 days 00:00:21.000000000
45,2021-11-14 11:02:40,,0.0,0 days 00:00:00.000000000
