,ts,button_status,LDRstatus,Duration
28,11/13/2021 13:11,,0,0 days 00:00:00.000000000
29,11/13/2021 13:17,,0.5,0 days 00:06:30.000000000
30,11/13/2021 15:15,,0,0 days 00:00:00.000000000
31,11/13/2021 15:31,,0.5,0 days 00:16:00.000000000
43,11/14/2021 10:17,,0,0 days 00:00:00.000000000
44,11/14/2021 10:17,,0.5,0 days 00:00:21.000000000
45,11/14/2021 11:02,,0,0 days 00:00:00.000000000
46,11/14/2021 11:06,,0.5,0 days 00:04:06.000000000
47,11/14/2021 11:52,,0,0 days 00:00:00.000000000
48,11/14/2021 11:55,,0.5,0 days 00:02:16.000000000
49,11/14/2021 14:47,,0,0 days 00:00:00.000000000
50,11/14/2021 14:49,,0.5,0 days 00:02:13.000000000
54,11/14/2021 14:54,,0,0 days 00:00:00.000000000
55,11/14/2021 14:55,,0.5,0 days 00:01:31.000000000
56,11/14/2021 15:37,,0,0 days 00:00:00.000000000
57,11/14/2021 15:39,,0.5,0 days 00:01:49.000000000
58,11/14/2021 15:39,,0,0 days 00:00:00.000000000
59,11/14/2021 15:51,,0.5,0 days 00:12:02.000000000
60,11/14/2021 17:49,,0,0 days 00:00:00.000000000
61,11/14/2021 17:51,,0.5,0 days 00:01:09.000000000
68,11/14/2021 20:08,,0,0 days 00:00:00.000000000
69,11/14/2021 20:09,,0.5,0 days 00:01:04.000000000
70,11/14/2021 22:45,,0,0 days 00:00:00.000000000
71,11/14/2021 22:57,,0.5,0 days 00:12:07.000000000
72,11/14/2021 23:01,,0,0 days 00:00:00.000000000
73,11/14/2021 23:04,,0.5,0 days 00:02:13.000000000
74,11/15/2021 0:37,,0,0 days 00:00:00.000000000
75,11/15/2021 0:39,,0.5,0 days 00:01:46.000000000
76,11/15/2021 7:18,,0,0 days 00:00:00.000000000
77,11/15/2021 7:22,,0.5,0 days 00:03:58.000000000
81,11/15/2021 9:34,,0,0 days 00:00:00.000000000
82,11/15/2021 9:38,,0.5,0 days 00:03:12.000000000
83,11/15/2021 10:23,,0,0 days 00:00:00.000000000
84,11/15/2021 10:26,,0.5,0 days 00:02:35.000000000
85,11/15/2021 10:57,,0,0 days 00:00:00.000000000
86,11/15/2021 11:04,,0.5,0 days 00:06:18.000000000
87,11/15/2021 12:01,,0,0 days 00:00:00.000000000
88,11/15/2021 12:02,,0.5,0 days 00:01:01.000000000
89,11/15/2021 12:40,,0,0 days 00:00:00.000000000
90,11/15/2021 12:40,,0.5,0 days 00:00:02.000000000
91,11/15/2021 16:07,,0,0 days 00:00:00.000000000
92,11/15/2021 16:18,,0.5,0 days 00:11:12.000000000
102,11/16/2021 7:55,,0,0 days 00:00:00.000000000
103,11/16/2021 8:02,,0.5,0 days 00:07:13.000000000
104,11/16/2021 8:09,,0,0 days 00:00:00.000000000
105,11/16/2021 8:16,,0.5,0 days 00:07:24.000000000
109,11/16/2021 15:03,,0,0 days 00:00:00.000000000
110,11/16/2021 15:06,,0.5,0 days 00:02:45.000000000
111,11/16/2021 15:25,,0,0 days 00:00:00.000000000
112,11/16/2021 15:36,,0.5,0 days 00:11:26.000000000
113,11/16/2021 15:36,,0,0 days 00:00:00.000000000
114,11/16/2021 15:37,,0.5,0 days 00:00:59.000000000
115,11/16/2021 17:15,,0,0 days 00:00:00.000000000
116,11/16/2021 17:20,,0.5,0 days 00:04:20.000000000
117,11/16/2021 19:51,,0,0 days 00:00:00.000000000
118,11/16/2021 19:51,,0.5,0 days 00:00:41.000000000
135,11/17/2021 9:19,,0,0 days 00:00:00.000000000
136,11/17/2021 9:23,,0.5,0 days 00:04:01.000000000
137,11/17/2021 9:40,,0,0 days 00:00:00.000000000
138,11/17/2021 9:44,,0.5,0 days 00:03:35.000000000
142,11/17/2021 15:45,,0,0 days 00:00:00.000000000
143,11/17/2021 16:10,,0.5,0 days 00:24:51.000000000
144,11/17/2021 20:39,,0,0 days 00:00:00.000000000
145,11/17/2021 20:46,,0.5,0 days 00:06:25.000000000
146,11/17/2021 23:00,,0,0 days 00:00:00.000000000
147,11/17/2021 23:10,,0.5,0 days 00:09:47.000000000
151,11/18/2021 7:07,,0,0 days 00:00:00.000000000
152,11/18/2021 7:10,,0.5,0 days 00:02:14.000000000
153,11/18/2021 7:41,,0,0 days 00:00:00.000000000
154,11/18/2021 7:50,,0.5,0 days 00:08:32.000000000
155,11/18/2021 7:53,,0,0 days 00:00:00.000000000
156,11/18/2021 7:55,,0.5,0 days 00:02:33.000000000
157,11/18/2021 15:32,,0,0 days 00:00:00.000000000
158,11/18/2021 15:45,,0.5,0 days 00:13:27.000000000
159,11/18/2021 22:09,,0,0 days 00:00:00.000000000
160,11/18/2021 22:11,,0.5,0 days 00:02:16.000000000
161,11/18/2021 23:20,,0,0 days 00:00:00.000000000
162,11/18/2021 23:33,,0.5,0 days 00:12:12.000000000
171,11/19/2021 7:11,,0,0 days 00:00:00.000000000
172,11/19/2021 7:35,,0.5,0 days 00:23:21.000000000
173,11/19/2021 7:45,,0,0 days 00:00:00.000000000
174,11/19/2021 7:51,,0.5,0 days 00:05:39.000000000
175,11/19/2021 7:54,,0,0 days 00:00:00.000000000
176,11/19/2021 8:00,,0.5,0 days 00:06:10.000000000
177,11/19/2021 8:07,,0,0 days 00:00:00.000000000
178,11/19/2021 8:09,,0.5,0 days 00:01:15.000000000
179,11/19/2021 8:26,,0,0 days 00:00:00.000000000
180,11/19/2021 8:33,,0.5,0 days 00:07:06.000000000
187,11/19/2021 15:41,,0,0 days 00:00:00.000000000
188,11/19/2021 15:56,,0.5,0 days 00:14:30.000000000
192,11/20/2021 10:34,,0,0 days 00:00:00.000000000
193,11/20/2021 10:52,,0.5,0 days 00:17:33.000000000
194,11/20/2021 11:03,,0,0 days 00:00:00.000000000
195,11/20/2021 11:22,,0.5,0 days 00:19:26.000000000
199,11/20/2021 12:08,,0,0 days 00:00:00.000000000
200,11/20/2021 12:13,,0.5,0 days 00:04:36.000000000
204,11/20/2021 13:12,,0,0 days 00:00:00.000000000
205,11/20/2021 13:29,,0.5,0 days 00:17:48.000000000
206,11/20/2021 14:12,,0,0 days 00:00:00.000000000
207,11/20/2021 14:12,,0.5,0 days 00:00:02.000000000
208,11/20/2021 14:23,,0,0 days 00:00:00.000000000
209,11/20/2021 14:25,,0.5,0 days 00:01:24.000000000
213,11/20/2021 14:31,,0,0 days 00:00:00.000000000
214,11/20/2021 14:32,,0.5,0 days 00:01:40.000000000
215,11/20/2021 16:02,,0,0 days 00:00:00.000000000
216,11/20/2021 16:06,,0.5,0 days 00:04:20.000000000
217,11/20/2021 17:53,,0,0 days 00:00:00.000000000
218,11/20/2021 17:59,,0.5,0 days 00:05:34.000000000
227,11/20/2021 21:31,,0,0 days 00:00:00.000000000
228,11/20/2021 21:32,,0.5,0 days 00:01:31.000000000
229,11/20/2021 21:43,,0,0 days 00:00:00.000000000
230,11/20/2021 21:44,,0.5,0 days 00:00:25.000000000
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
